category,services,price
,,
HAIR CUT,STYLIST HAIR CUT,500
HAIR CUT,SENIOR STYLIST HAIR CUT,550
HAIR CUT,ILLUMINATE HAIR CUT,650
HAIR CUT,CHILD HAIR CUT,350
,,
,,
GLOBAL (WITHOUT AMONIA),CROWN AREA,"1,000"
GLOBAL (WITHOUT AMONIA),NAPE,"3,000"
GLOBAL (WITHOUT AMONIA),UPTO SHOULDER,"4,000"
GLOBAL (WITHOUT AMONIA),BELOW SHOULDER,"5,000"
GLOBAL (WITHOUT AMONIA),WAIST,"6,500"
GLOBAL (WITHOUT AMONIA),WAIST & BELOW,"8,500"
,,
ROOT TOUCH-UP (WITHOUT AMONIA),2 INCH,"1,500"
ROOT TOUCH-UP (WITHOUT AMONIA),3 INCH,"1,800"
,,
AMONIA ROOT THOUCH-UP,1 INCH,1000
AMONIA ROOT THOUCH-UP,2 INCH,1200
AMONIA ROOT THOUCH-UP,3 INCH,1500
,,
PROTEIN SPA,UPTO SHOULDR ,2500
PROTEIN SPA,BELOW SHOULDER,3000
PROTEIN SPA,WAIST & BELOW SHOULDER,3500
,,
TREATMENTS,UPTO SHOULDR,2000
TREATMENTS,BELOW SHOULDER,3000
TREATMENTS,WAIST & BELOW ,3500
TREATMENTS,BIO-TOP TREATMENT,3500
TREATMENTS,MOROCCAN SPA,3500
,,
WASH & BLOW DRY,UPTO SHOULDER,300
WASH & BLOW DRY,BELOW SHOULDER,400
,,
ULTIMATE BLOW DRY,UPTO SHOULDER,550
ULTIMATE BLOW DRY,BELOW SHOULDER,650
,,
CRIMPING & IRONING,UPTO SHOWLDER,500
CRIMPING & IRONING,BELOW SHOWLDER,650
CRIMPING & IRONING,WAIST & BELOW,1000
CRIMPING & IRONING,UPSTYLE FORMAL,1000
CRIMPING & IRONING,UPSTYLE  INFORMAL,1000
CRIMPING & IRONING,BRAIDS,750
CRIMPING & IRONING,ILLUMINATE HAIR STYLE,1500
,,
TONGS,UPTO SHOWLDER,1200
TONGS,BELOW SHOWLDER,800
,,
GLOBAL (WITH AMONIA),CROWN AREA,1500
GLOBAL (WITH AMONIA),NAPE,2000
GLOBAL (WITH AMONIA),UPTO SHOULDER,2500
GLOBAL (WITH AMONIA),BELOW SHOULDER,4000
GLOBAL (WITH AMONIA),WAIST & BELOW,5500
,,
HEAD MASSAGE,ALMOND OIL ,800
HEAD MASSAGE,OLIVE OIL,750
HEAD MASSAGE,COCONUT OIL,750
HEAD MASSAGE,DEEP CONDITIONING,1000
,,
TREATMENT (HAIR),HAIR  FALL TREATMENT,1500
TREATMENT (HAIR),DANDRUFF TREATMENT,1500
,,
SMOOTHING,NAPR,4000
SMOOTHING,CROWN,3000
SMOOTHING,UPTO SHOULDER,5000
SMOOTHING,BELOW SHOULDER,6500
SMOOTHING,WAIST & BELOW,9500
,,
REBONDING,CROWN AREA,3000
REBONDING,NAPE,4000
REBONDING,UPTO SHOULDER,5500
REBONDING,BELOW SHOULDER,7000
REBONDING,WAIST & BELOW,"10,000"
,,
FULL HIGH LIGHT,,
FULL HIGH LIGHT,CROWN AREA,2500
FULL HIGH LIGHT,NAPE,3000
FULL HIGH LIGHT,UPTO SHOULDER,4000
FULL HIGH LIGHT,BELOW SHOULDER,5000
FULL HIGH LIGHT,WAIST & BELOW,6000
,,
PER FOIL,UPTO SHOULDER,500
PER FOIL,BELOW SHOULDER,550
PER FOIL,WAIST & BELOW,700
,,
CYSTEIN INFLUSION/KERATIN,UPTO SHOULDER,5000
CYSTEIN INFLUSION/KERATIN,BELOW SHOULDER,6000
CYSTEIN INFLUSION/KERATIN,WAIST & BELOW,8000
,,
SKIN,FRESH FRUIT CLEAN- UP,1000
SKIN,O3 CLEAN-UP,1000
SKIN,CITRUS CLEAN-UP,1000
SKIN,ORGANIC CLEAN-UP,1000
,,
REGULAR FACIAL,ANTI-TAN MINI FACIAL,1600
REGULAR FACIAL,CHOCO-REVIVAL FACIAL,1800
REGULAR FACIAL,INSTA SHINE FACIAL,2500
REGULAR FACIAL,BRIGHTENING FACIAL,2200
REGULAR FACIAL,AQUA - SOOTHING FACIAL,2500
,,
ORGANIC FACIAL,VITA-C BOOSTER FACIAL,3500
ORGANIC FACIAL,JAPANESE REJUVENATING FACIAL,4000
ORGANIC FACIAL,SKIN LIGHTENUNG,3800
ORGANIC FACIAL,SKIN FIRMING FACIAL,3800
ORGANIC FACIAL,STEM-CELL FACIAL,4000
ORGANIC FACIAL,CHARCOALFACIAL,3500
,,
O3 + FACIA L+ TREATMENT,BESIC CLEANUP,1000
O4 + FACIA L+ TREATMENT,ADVANCE CLEANUP,1500
O5 + FACIA L+ TREATMENT,6 STEP BASIC FACIAL,2500
O6 + FACIA L+ TREATMENT,9 STEP ADVANCE FACIAL,3500/4000
O7 + FACIA L+ TREATMENT,DIAMOND FACIAL,4000
O8 + FACIA L+ TREATMENT,O3 MASSAGE (M),500
O9 + FACIA L+ TREATMENT,SCRUB,300
,,
D - TAN ,FACE & NECK,500
D - TAN ,FACE & NECK & BLOUSE LINE,850
D - TAN ,FULL HAND ,500
D - TAN ,FULL  LEGS,700
D - TAN ,UNDER ARMS,150
D - TAN ,HALF ARMS,380
D - TAN ,HALF LEGS,500
D - TAN ,FEET,200
D - TAN ,FULL BODY,2000
D - TAN ,FULL BACK,650
D - TAN ,FULL FRONT,650
D - TAN ,HALF BACK,400
,,
BLEACH,FACE & NECK,450
BLEACH,FACE & NECK & BLOUSE LINE,450
BLEACH,FULL ARMS,650
BLEACH,FULL  LEGS,850
BLEACH,HALF ARMS,380
BLEACH,HALF LEGS,450
BLEACH,UNDER ARMS,150
BLEACH,HALF BACK,400
BLEACH,FULL BACK,800
BLEACH,FULL FRONT,600
BLEACH,FEET,200
BLEACH,FULL BODY BLEACH,2000
,,
WAXING,FULL ARMS,300
WAXING,FULL LEGS,400
WAXING,HALF LEGS,300
WAXING,UNDER ARMS,100
WAXING,MIDRIFF,250
WAXING,HALF BACK,300
WAXING,FULL BACK,400
WAXING,FULL BODY WAXING,1500
,,
FLAVOERD  WAXING,FULL ARMS,600
FLAVOERD  WAXING,FULL  LEGS,800
FLAVOERD  WAXING,HALF ARMS,450
FLAVOERD  WAXING,HALF LEGS,550
FLAVOERD  WAXING,UNDER ARMS,200
FLAVOERD  WAXING,HALF BACK,600
FLAVOERD  WAXING,FULL BACK,800
FLAVOERD  WAXING,MIDRITY,600
FLAVOERD  WAXING,FULL WAXING (FULL ARM/LEGS/UNDERARMS),1500
FLAVOERD  WAXING,FULL BODY WAXING,2800
FLAVOERD  WAXING,BRAZILIAN WAX,1250
FLAVOERD  WAXING,BIKNI LINE,600
,,
PEEL OFF WAXING,FULL FACE,700
PEEL OFF WAXING,UPPER LIPS,150
PEEL OFF WAXING,UNDER ARM,400
PEEL OFF WAXING,SIDE LOCK,400
PEEL OFF WAXING,JAWLINE,350
PEEL OFF WAXING,CHIN,200
,,
BODY POLISHING,FULL BODY POLISHING,3000
BODY POLISHING,FULL BACK ,600
BODY POLISHING,FULL FRONT ,600
BODY POLISHING,FULL ARM,500
BODY POLISHING,FULL LEGS,750
,,
MENICURE,REGULAR MENICURE,450
MENICURE,ILLUMINATE MANICURE,1500
MENICURE,CHOCOLATE MANICURE,1200
,,
PEDICURE,REGULAR PEDICURE,550
PEDICURE,ILLUMINATE PEDICURE,1500
PEDICURE,CHOCOLATE PEDICURE,1200
,,
OTHER,CUT FILE & POLISH,100
OTHER,CHANGE OF POLISHING,50/100
OTHER,FRENVH NAIL ART,150
OTHER,FOOT MASSAGE,250
,,
MASQUE,POWER MASK,900
MASQUE,CHOCOLATE,500
MASQUE,GLOW MASK,350
MASQUE,HYDRATING MASK,350
MASQUE,TIGHTNING,800
,,
,,
,,
,,
FOR  MEN,HAIR CUT,350
FOR  MEN,SHAVING,100
FOR  MEN,MOUSTACHE COLOUR,150
FOR  MEN,BEARD TRIM,200
FOR  MEN,HAIR  WASH / HAIR SET,350
FOR  MEN,SHAMPOO + CONDITIONING,250
FOR  MEN,HAIR CUT + WASH,400
,,
COLOURING,BEARD COLOUR,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
